participant,residence,nativelang,bl_experiment,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.aedc22f7-2ceb-466f-8609-3db61c39328c.txt,10353,10353,"",0,2022-08-12-17-17,2022-08-12-17-52,35
s.a8650f22-a290-4d96-8614-5a1add4ee5b2.txt,8803,8803,"",0,2022-08-12-15-04,2022-08-12-15-26,22
s.b864b455-9478-42cc-8fc2-cb7d9e90100f.txt,34317,34317,"",0,2022-08-12-17-46,2022-08-12-18-06,20
s.1423ef2c-577e-4417-ae86-3ec72e5cd216.txt,6970,6970,"",0,2022-08-12-13-30,2022-08-12-13-49,19
s.a2a548d1-a5f3-49c1-a793-e325c4f94ff7.txt,9107,9107,"",0,2022-08-12-17-55,2022-08-12-18-05,10
s.9866ce16-0b47-4859-8bea-9e7bc758c35d.txt,10075,10075,"",0,2022-08-12-15-34,2022-08-12-15-46,12
