index,group_index,final,c_name,img,lvl,branch,stim_type,p_id,accurate,react_time
22,15,1,edible_fruit_n_01,muffler_n_02,hypernym,edible_fruit.n.01,False,23,1,523
23,12,1,cathedra_n_01,cathedra_n_01,hyponym,furniture.n.01,True,23,0,1089
24,18,1,scarf_n_01,muffler_n_02,bl,clothing.n.01,True,23,1,414
25,9,1,clothing_n_01,heart_cherry_n_02,hypernym,clothing.n.01,False,23,1,428
26,3,1,heart_cherry_n_02,long_johns_n_01,hyponym,edible_fruit.n.01,False,23,1,514
27,11,1,grape_n_01,brick_trowel_n_01,bl,edible_fruit.n.01,False,23,1,520
28,1,1,hand_tool_n_01,needlenose_pliers_n_01,hypernym,hand_tool.n.01,True,23,1,503
29,7,1,sweater_n_01,turtleneck_n_01,bl,clothing.n.01,True,23,1,398
30,10,1,square_n_08,carpenters_square_n_01,bl,hand_tool.n.01,True,23,0,498
31,8,1,clothing_n_01,cherimoya_n_02,hypernym,clothing.n.01,False,23,1,950
32,17,1,damson_n_01,damson_n_01,hyponym,edible_fruit.n.01,True,23,1,520
33,14,1,long_johns_n_01,euphonium_n_01,hyponym,clothing.n.01,False,23,0,696
34,16,1,edible_fruit_n_01,watermelon_n_02,hypernym,edible_fruit.n.01,True,23,1,1030
35,2,1,needlenose_pliers_n_01,stradavarius_n_01,hyponym,hand_tool.n.01,False,23,1,1123
36,19,1,file_n_04,bass_clarinet_n_01,bl,hand_tool.n.01,False,23,1,615
37,13,1,sofa_n_01,love_seat_n_01,bl,furniture.n.01,True,23,1,532
38,20,1,shovel_n_01,spade_n_02,bl,hand_tool.n.01,True,23,1,486
39,5,1,bassoon_n_01,business_suit_n_01,bl,musical_instrument.n.01,False,23,0,730
40,7,1,grand_piano_n_01,grand_piano_n_01,hyponym,musical_instrument.n.01,True,23,1,439
41,9,1,hand_tool_n_01,putty_knife_n_01,hypernym,hand_tool.n.01,True,23,1,437
42,14,1,custard_apple_n_02,cherimoya_n_02,bl,edible_fruit.n.01,True,23,1,603
43,2,1,bed_n_01,bunk_bed_n_01,bl,furniture.n.01,True,23,1,590
44,17,1,highhat_cymbal_n_01,highhat_cymbal_n_01,hyponym,musical_instrument.n.01,True,23,1,677
45,11,1,trombone_n_01,sackbut_n_01,bl,musical_instrument.n.01,True,23,1,504
46,18,1,stool_n_01,long_johns_n_01,bl,furniture.n.01,False,23,1,635
47,13,1,oboe_n_01,heckelphone_n_01,bl,musical_instrument.n.01,True,23,1,658
48,16,1,edible_fruit_n_01,heart_cherry_n_02,hypernym,edible_fruit.n.01,True,23,1,513
49,5,1,skirt_n_02,miniskirt_n_01,bl,clothing.n.01,True,23,1,524
50,6,1,piccolo_n_01,piccolo_n_01,hyponym,musical_instrument.n.01,True,23,1,655
51,19,1,musical_instrument_n_01,armchair_n_01,hypernym,musical_instrument.n.01,False,23,1,536
52,1,1,hand_tool_n_01,highboy_n_01,hypernym,hand_tool.n.01,False,23,1,538
53,10,1,furniture_n_01,bow_tie_n_01,hypernym,furniture.n.01,False,23,1,614
54,4,1,highboy_n_01,highboy_n_01,hyponym,furniture.n.01,True,23,0,504
55,15,1,lime_n_06,key_lime_n_01,bl,edible_fruit.n.01,True,23,1,659
